iter	Accuracy	MultiClass
0	0.577548821	1.078849137
1	0.5918770126	1.060846206
2	0.6132881479	1.04567517
3	0.6191505661	1.030326026
4	0.6196439701	1.016335474
5	0.6212799938	1.005036468
6	0.6127492988	0.9945672106
7	0.6149046951	0.9839642463
8	0.6190661681	0.9733036648
9	0.6239937156	0.9639807527
10	0.623682092	0.9549129498
11	0.632790589	0.9454613511
12	0.6342188636	0.9383075255
13	0.6370559364	0.9302732772
14	0.6391723798	0.923998011
15	0.6442687234	0.9165554261
16	0.6448595097	0.9102560111
17	0.6448400332	0.9035278783
18	0.6455671549	0.8968862472
19	0.6490923964	0.8917966625
20	0.6540588969	0.8863639431
21	0.659259115	0.8784908273
22	0.6714319103	0.8713819617
23	0.6751973616	0.8660686862
24	0.6799626052	0.8618135384
25	0.6798457463	0.8546054085
26	0.680572868	0.8494241739
27	0.6865002077	0.8428731652
28	0.6881427236	0.837547168
29	0.6901942454	0.832326804
30	0.6893113119	0.8267561185
31	0.6935441986	0.8215409837
32	0.6956346733	0.8168287361
33	0.6982639971	0.8118641701
34	0.6992313286	0.807298057
35	0.7031785603	0.8023364237
36	0.7020164641	0.7993716851
37	0.7042757349	0.7938463875
38	0.7041848447	0.7897208297
39	0.7060156331	0.7854708137
40	0.7066778332	0.7818045229
41	0.7088332295	0.778452991
42	0.7102095668	0.7744573058
43	0.7152994183	0.7704054713
44	0.7144489457	0.7674423618
45	0.7174613067	0.7645545866
46	0.7198698972	0.7604961692
47	0.721843513	0.7572946677
48	0.7281993352	0.7540278092
49	0.725634933	0.7504326285
50	0.7279201724	0.7480126756
51	0.7311857276	0.7446654135
52	0.732192012	0.741970313
53	0.7324711748	0.7398525615
54	0.7374181988	0.7372591682
55	0.7391775735	0.7338995489
56	0.7399241716	0.7314896873
57	0.7402552716	0.7296154852
58	0.7417224992	0.7274324584
59	0.7474940272	0.7244062187
60	0.7475459645	0.7214487429
61	0.7494546588	0.7190646041
62	0.7482471175	0.7168637401
63	0.7528111042	0.7144161325
64	0.7530448219	0.7111598546
65	0.7620948894	0.7087940874
66	0.7616404384	0.7048307088
67	0.7666393996	0.7010176076
68	0.7705022333	0.6978371911
69	0.7702814999	0.696015298
70	0.7727485198	0.6941269198
71	0.7741053807	0.6910262112
72	0.7731315571	0.688677084
73	0.7727744884	0.6863833543
74	0.7743066376	0.6828968742
75	0.7742092552	0.680959381
76	0.7786304145	0.6782495188
77	0.7794159655	0.6761592838
78	0.7805650774	0.672822229
79	0.782402358	0.6707229145
80	0.7820907344	0.6689644452
81	0.7850057131	0.6665031323
82	0.7857977563	0.6641604001
83	0.78776488	0.6627501209
84	0.7882063467	0.6606849855
85	0.7905565077	0.6577326186
86	0.7897514802	0.6571554727
87	0.7912316921	0.6541590817
88	0.7902189156	0.6523078829
89	0.7928677158	0.6499358541
90	0.7980095045	0.6475799747
91	0.8010348499	0.6456122029
92	0.8028916069	0.6428357363
93	0.8018658461	0.639502196
94	0.8017944323	0.63894747
95	0.8010413421	0.6371525157
96	0.801080295	0.6352230656
97	0.8072023995	0.6315283728
98	0.8061376857	0.6290348255
99	0.8085332918	0.627193738
100	0.8109483744	0.6258526862
101	0.8105263841	0.6237542512
102	0.8114937156	0.6226372935
103	0.8099355978	0.6209590216
104	0.8111885842	0.6195298416
105	0.8144606316	0.617215126
106	0.8194401163	0.6141287108
107	0.8195829438	0.6119745162
108	0.8190700634	0.6108013947
109	0.8198621066	0.6092862616
110	0.8186610574	0.6077335074
111	0.8198426301	0.6047839339
112	0.8246403345	0.6019319198
113	0.8255362522	0.6010872546
114	0.8273475641	0.5991966405
115	0.8273735328	0.5982934352
116	0.8285810741	0.5961177333
117	0.8303858938	0.5946627603
118	0.8315934351	0.5931987553
119	0.8328853745	0.5915474866
120	0.8360340708	0.589476427
121	0.8397605692	0.586586726
122	0.8404747066	0.5845803003
123	0.8421172224	0.5829883449
124	0.8429287421	0.5816984951
125	0.8414225615	0.5793184949
126	0.841604342	0.5782941594
127	0.8448893736	0.5756710026
128	0.843337748	0.5742446698
129	0.8473823621	0.5722316193
130	0.8469149268	0.5711108579
131	0.8499597486	0.5680942043
132	0.850141529	0.5665049566
133	0.8517385998	0.5636667592
134	0.8533291784	0.5625134335
135	0.8548872961	0.5602774086
136	0.854303002	0.5584322287
137	0.8542965098	0.5573282609
138	0.8542445726	0.5562110594
139	0.8562960943	0.5540989977
140	0.8559455178	0.5524070962
141	0.8559455178	0.5507609908
142	0.8565882414	0.549252441
143	0.857932118	0.5483378169
144	0.8594902358	0.5466696815
145	0.8596525397	0.5455048931
146	0.8619183027	0.5437927393
147	0.8616716007	0.543030721
148	0.8616586164	0.5421315288
149	0.8614313909	0.5409039145
150	0.8645151657	0.5394148652
151	0.8644372598	0.5380526107
152	0.8634504519	0.5370035669
153	0.8681442817	0.5352699713
154	0.8685662719	0.5342909222
155	0.8698776878	0.5331336293
156	0.869845227	0.5323992718
157	0.8689622935	0.5315902806
158	0.8724161213	0.5299850186
159	0.8718902566	0.5285668954
160	0.8720071154	0.5277296165
161	0.8733315155	0.5263279349
162	0.8719941311	0.5252392982
163	0.8731692116	0.5239113004
164	0.8738184273	0.5225930056
165	0.8768242963	0.5212121659
166	0.8761685883	0.5199329426
167	0.8774540355	0.5177388847
168	0.8776033551	0.5159042026
169	0.8773956061	0.514498757
170	0.8779409473	0.5131074586
171	0.8768178041	0.5125233413
172	0.8774280669	0.5115996386
173	0.8774280669	0.5093152237
174	0.8775449257	0.5076334807
175	0.878752467	0.5058753683
176	0.879823673	0.5042273944
177	0.8800184377	0.503308748
178	0.8792913161	0.5017046866
179	0.8811610574	0.4997707645
180	0.881141581	0.4977909043
181	0.88134933	0.4970411886
182	0.8821803262	0.4961884636
183	0.882089436	0.4951468878
184	0.8829658772	0.4942897728
185	0.8842318479	0.4928636471
186	0.885510803	0.4913739039
187	0.8847771892	0.4903980742
188	0.8874000208	0.4889230596
189	0.8882699699	0.4871594163
190	0.8899838994	0.4857619245
191	0.8910551054	0.4841859196
192	0.8899838994	0.4829143353
193	0.8910161525	0.4811968796
194	0.891120027	0.4803177363
195	0.8908148956	0.4787921012
196	0.8917237977	0.4776676975
197	0.8918471486	0.4765219935
198	0.8923015997	0.4746937293
199	0.895034798	0.4725531022
200	0.8943725979	0.471766483
201	0.895489249	0.4701800696
202	0.8957619196	0.4687874615
203	0.8958463176	0.4681861067
204	0.8966902981	0.4675403592
205	0.8965669471	0.4670069622
206	0.8967552197	0.4648680333
207	0.8988132336	0.4631730861
208	0.8993131297	0.4625176876
209	0.9003194141	0.4610975964
210	0.9003778436	0.4594701797
211	0.9003843357	0.4587141834
212	0.9006959593	0.4576779968
213	0.9004038122	0.4566440612
214	0.9021112496	0.4550397827
215	0.9018450712	0.4538901966
216	0.9034421419	0.4526044798
217	0.9035070635	0.4515574232
218	0.9035460164	0.4505524208
219	0.9040069596	0.4493527255
220	0.9031240262	0.4479763874
221	0.9031240262	0.4475641408
222	0.904766542	0.4468017751
223	0.9056494754	0.445503014
224	0.9056170146	0.4445391391
225	0.9061169108	0.4435380044
226	0.9080191129	0.4422373984
227	0.9080191129	0.4420705951
228	0.9081294796	0.4413786049
229	0.9081814168	0.4398487384
230	0.9082138776	0.4383823366
231	0.908434611	0.4372728104
232	0.9086553443	0.4366353727
233	0.9100901111	0.4360388988
234	0.9100706347	0.4344974494
235	0.9100576504	0.4335395981
236	0.9101550327	0.4328258886
237	0.9109990132	0.4318144462
238	0.9109535681	0.430165007
239	0.9110379661	0.4292960571
240	0.911940376	0.4278431679
241	0.9120896956	0.4265934712
242	0.9120702192	0.4261112408
243	0.9128427859	0.4256580248
244	0.9136997507	0.4242019614
245	0.9146086527	0.4231111921
246	0.916186247	0.4223418063
247	0.9161927392	0.4211651314
248	0.9164848863	0.4203556568
249	0.9165368235	0.419568352
250	0.9162901215	0.4185885038
251	0.9165433157	0.4180824225
252	0.9184000727	0.4172392745
253	0.9183805962	0.4161499091
254	0.9193414355	0.414514289
255	0.9199192376	0.413190483
256	0.9200360964	0.4127757887
257	0.9205489768	0.4119418611
258	0.9206009141	0.4113942919
259	0.9207307572	0.4104611221
260	0.9209904435	0.4097401005
261	0.9216721201	0.4086463721
262	0.9218409162	0.4078699894
263	0.9216136907	0.4072090585
264	0.9216721201	0.4068568333
265	0.9221979848	0.4061650294
266	0.9228666771	0.4047457616
267	0.9234055261	0.4037775342
268	0.9230679339	0.4031992195
269	0.923483432	0.4018324303
270	0.9234899242	0.4010391018
271	0.9245870988	0.3994694509
272	0.9246909733	0.3990217745
273	0.9245806066	0.3982244882
274	0.9236197673	0.3974539502
275	0.925586891	0.3963578603
276	0.9279435442	0.3950735805
277	0.9280928638	0.3937639873
278	0.9280668952	0.3933365338
279	0.9281058481	0.392415214
280	0.9281448011	0.3915815045
281	0.929047211	0.3904129062
282	0.9299106679	0.3894543433
283	0.9300080503	0.3888803826
284	0.9299885738	0.3881921202
285	0.9300145424	0.3870478242
286	0.9303845954	0.3864119078
287	0.9311571621	0.3848398528
288	0.9311247014	0.3839545205
289	0.9303326581	0.3833727737
290	0.9312934975	0.3821998164
291	0.9307416641	0.3815338569
292	0.9323192583	0.3799191123
293	0.9321764309	0.3795457445
294	0.9329619819	0.3782682119
295	0.9329619819	0.3779152365
296	0.9338643918	0.3770085696
297	0.9339163291	0.376440248
298	0.9339358055	0.3756671709
299	0.9339617742	0.3747729358
300	0.9332086839	0.3738882067
301	0.9331892074	0.3732592661
302	0.9347927703	0.3721229741
303	0.9349096292	0.37086391
304	0.936591098	0.370137619
305	0.9358444998	0.3692470634
306	0.9359288979	0.3687965425
307	0.9360262803	0.3677994955
308	0.9361106783	0.3669655947
309	0.9360197881	0.3664457248
310	0.9385517295	0.36552597
311	0.9385517295	0.3649161382
312	0.938694557	0.3645129595
313	0.9387140334	0.3637010584
314	0.9394541394	0.3631077002
315	0.9394541394	0.3627363044
316	0.9402396905	0.3615805061
317	0.9403565493	0.3607391717
318	0.9404084865	0.3599870166
319	0.9406486964	0.3589637675
320	0.9415121533	0.3580065278
321	0.9413368651	0.3570477814
322	0.9415770749	0.3560807499
323	0.9415835671	0.3553781522
324	0.9416030435	0.354812335
325	0.9434078633	0.3532976708
326	0.9433754025	0.3527022355
327	0.9434857692	0.3522229307
328	0.9434857692	0.3514550411
329	0.9434598006	0.3507330493
330	0.9435636751	0.3501293918
331	0.9435766594	0.3493417001
332	0.9427391711	0.3486315421
333	0.9426482809	0.3477843785
334	0.9430962397	0.3471542791
335	0.944342734	0.346192852
336	0.9452256674	0.3453529522
337	0.9453555105	0.3444739878
338	0.9453035733	0.3436479373
339	0.9450244105	0.3425323984
340	0.9442583359	0.3421063037
341	0.9451217929	0.3415724779
342	0.9452061909	0.3404296831
343	0.9460047263	0.3396451167
344	0.9461410616	0.3391184923
345	0.9461475538	0.3386008199
346	0.9470175029	0.3380249552
347	0.9478744676	0.337336891
348	0.9480432637	0.336729979
349	0.9480367716	0.3361036912
350	0.9479913265	0.3355459651
351	0.9484522697	0.3351501704
352	0.9484717461	0.3347897657
353	0.9484198089	0.3334856509
354	0.9488547834	0.3326918648
355	0.9488417991	0.3321723897
356	0.9487833697	0.3316138328
357	0.9491793913	0.3312208181
358	0.9493352031	0.3306587822
359	0.9492637893	0.3297575731
360	0.9488612756	0.3288913829
361	0.9498156227	0.3278082668
362	0.9499844188	0.3273771578
363	0.9497701776	0.3268445551
364	0.9498740521	0.3263151824
365	0.9498156227	0.3256937527
366	0.9501921679	0.3248140234
367	0.9502570894	0.3242682784
