iter	Passed	Remaining
0	137	68480
1	252	62969
2	368	61079
3	500	62020
4	620	61408
5	739	60891
6	869	61241
7	966	59461
8	1074	58598
9	1177	57673
10	1272	56571
11	1400	56954
12	1680	62939
13	1793	62264
14	1896	61324
15	1997	60412
16	2112	60017
17	2255	60385
18	2359	59744
19	2460	59057
20	2556	58314
21	2652	57625
22	2752	57092
23	2849	56513
24	2989	56803
25	3093	56400
26	3195	55976
27	3298	55599
28	3398	55197
29	3501	54851
30	3606	54564
31	3710	54264
32	3811	53935
33	3903	53494
34	3997	53107
35	4107	52939
36	4204	52613
37	4300	52290
38	4417	52217
39	4537	52185
40	4655	52113
41	4765	51965
42	4876	51824
43	5027	52101
44	5168	52257
45	5298	52289
46	5410	52147
47	5519	51972
48	5634	51864
49	5764	51881
50	5895	51900
51	6017	51847
52	6147	51849
53	6301	52046
54	6488	52501
55	6610	52413
56	6761	52549
57	6895	52550
58	7117	53198
59	7276	53357
60	7399	53249
61	7523	53150
62	7656	53107
63	7789	53063
64	7910	52941
65	8070	53072
66	8194	52959
67	8315	52830
68	8434	52687
69	8556	52558
70	8677	52430
71	8803	52333
72	8925	52209
73	9043	52062
74	9161	51916
75	9290	51828
76	9419	51745
77	9562	51734
78	9712	51759
79	9854	51734
80	9997	51715
81	10117	51573
82	10266	51580
83	10386	51439
84	10524	51382
85	10649	51266
86	10742	50996
87	10873	50909
88	11016	50874
89	11173	50901
90	11275	50679
91	11386	50497
92	11525	50438
93	11648	50310
94	11746	50077
95	11865	49934
96	11970	49732
97	12087	49581
98	12200	49416
99	12323	49294
100	12436	49130
101	12549	48965
102	12667	48824
103	12771	48631
104	12885	48475
105	12998	48313
106	13100	48115
107	13210	47948
108	13319	47779
109	13430	47617
110	13538	47445
111	13641	47259
112	13750	47091
113	13857	46921
114	13954	46717
115	14051	46515
116	14148	46314
117	14260	46166
118	14366	45998
119	14471	45825
120	14598	45725
121	14717	45601
122	14845	45501
123	14964	45375
124	15071	45213
125	15172	45036
126	15297	44930
127	15416	44802
128	15527	44655
129	15629	44483
130	15744	44348
131	15901	44330
132	16059	44315
133	16237	44351
134	16387	44306
135	16528	44238
136	16671	44173
137	16807	44088
138	16935	43983
139	17079	43918
140	17216	43833
141	17342	43722
142	17473	43622
143	17606	43526
144	17732	43414
145	17874	43338
146	17996	43216
147	18133	43128
148	18288	43082
149	18425	42992
150	18556	42888
151	18690	42791
152	18820	42683
153	18943	42561
154	19074	42455
155	19196	42331
156	19319	42207
157	19442	42084
158	19566	41962
159	19687	41836
160	19810	41712
161	19934	41592
162	20069	41492
163	20201	41388
164	20341	41299
165	20502	41251
166	20697	41271
167	20868	41240
168	20992	41116
169	21099	40957
