iter	Passed	Remaining
0	150	75204
1	260	64885
2	369	61214
3	484	60032
4	607	60181
5	792	65233
6	999	70401
7	1114	68561
8	1220	66580
9	1335	65420
10	1471	65433
11	1585	64495
12	1690	63323
13	1786	62008
14	1920	62101
15	2026	61311
16	2125	60385
17	2231	59743
18	2360	59767
19	2551	61234
20	2656	60593
21	2755	59861
22	2867	59469
23	2972	58945
24	3083	58579
25	3183	58035
26	3283	57526
27	3397	57278
28	3501	56868
29	3602	56439
30	3700	55983
31	3804	55640
32	3906	55282
33	4004	54879
34	4099	54464
35	4197	54098
36	4301	53823
37	4404	53543
38	4503	53236
39	4606	52970
40	4710	52734
41	4811	52465
42	4907	52152
43	5004	51860
44	5106	51636
45	5220	51522
46	5342	51494
47	5462	51437
48	5561	51186
49	5679	51119
50	5797	51042
51	5912	50936
52	6054	51066
53	6172	50977
54	6344	51335
55	6467	51275
56	6588	51201
57	6735	51326
58	6857	51260
59	6986	51234
60	7116	51214
61	7237	51132
62	7349	50981
63	7519	51224
64	7661	51270
65	7777	51145
66	7896	51034
67	8008	50879
68	8121	50731
69	8248	50668
70	8396	50731
71	8531	50717
72	8647	50579
73	8768	50476
74	8888	50366
75	9016	50300
76	9130	50160
77	9246	50023
78	9372	49949
79	9504	49899
80	9642	49877
81	9794	49929
82	9965	50065
83	10142	50231
84	10286	50221
85	10422	50171
86	10614	50389
87	10755	50356
88	10888	50281
89	11042	50303
90	11225	50454
91	11383	50481
92	11553	50561
93	11701	50538
94	11822	50399
95	11971	50381
96	12224	50789
97	12346	50645
98	12469	50506
99	12588	50354
100	12727	50278
101	12847	50128
102	12996	50092
103	13124	49972
104	13247	49837
105	13369	49695
106	13516	49644
107	13635	49491
108	13778	49426
109	13906	49303
110	14074	49324
111	14237	49321
112	14368	49209
113	14493	49073
114	14643	49022
115	14758	48856
116	14884	48724
117	15011	48598
118	15134	48456
119	15252	48298
120	15368	48138
121	15487	47984
122	15612	47854
123	15748	47754
124	15874	47624
125	15997	47484
126	16131	47379
127	16268	47280
128	16405	47181
129	16564	47143
130	16745	47168
131	16892	47094
132	17034	47005
133	17273	47180
134	17443	47163
135	17562	47005
136	17685	46858
137	17820	46747
138	17937	46584
139	18144	46657
140	18287	46562
141	18461	46543
142	18615	46473
143	18746	46345
144	18936	46362
145	19093	46295
146	19226	46168
147	19360	46047
148	19500	45937
149	19650	45851
150	19796	45754
151	19954	45684
152	20111	45612
153	20245	45487
154	20356	45309
155	20494	45193
156	20663	45143
157	20800	45023
158	20951	44933
159	21093	44824
160	21235	44713
161	21405	44661
162	21643	44748
163	21772	44606
164	21914	44493
165	22030	44326
166	22206	44279
167	22337	44143
168	22458	43986
169	22582	43835
170	22708	43690
171	22997	43855
172	23363	44161
173	23536	44098
174	23942	44465
175	24129	44420
176	24267	44284
177	24438	44208
178	24626	44162
179	24821	44127
180	24967	44003
181	25150	43944
182	25282	43795
183	25410	43640
184	25535	43478
185	25675	43345
186	25867	43297
187	25988	43129
188	26101	42950
189	26227	42792
190	26346	42623
191	26479	42476
192	26601	42313
193	26716	42140
194	26853	42001
195	26969	41830
196	27118	41709
197	27246	41557
198	27390	41429
199	27545	41318
200	27683	41180
201	27834	41062
202	28014	40986
203	28149	40844
204	28268	40679
205	28466	40627
206	28605	40489
207	28745	40353
208	28909	40252
209	29127	40223
210	29330	40173
211	29479	40047
212	29634	39930
213	29791	39815
214	29913	39652
215	30039	39496
216	30189	39371
217	30326	39229
218	30450	39070
219	30614	38964
220	30744	38813
221	30860	38644
222	30980	38482
223	31324	38596
224	31441	38428
225	31582	38290
226	31733	38163
227	31859	38008
228	31998	37866
229	32148	37739
230	32378	37704
231	32554	37606
232	32710	37483
233	32848	37340
234	32983	37194
235	33226	37168
236	33356	37015
237	33490	36867
238	33634	36730
239	33849	36670
240	34004	36544
241	34497	36778
242	34650	36646
243	34822	36535
244	34993	36422
245	35136	36278
246	35268	36125
247	35417	35988
248	35654	35940
249	35802	35802
250	36001	35714
251	36146	35572
252	36347	35485
253	36482	35332
254	36656	35218
255	36793	35068
256	36962	34948
257	37293	34980
258	37449	34846
259	37612	34719
260	37884	34690
261	38017	34534
262	38201	34425
263	38319	34255
264	38546	34182
265	38695	34040
266	38881	33930
267	39006	33767
268	39129	33601
269	39273	33454
270	39403	33296
271	39580	33177
272	39840	33127
273	39969	32967
