iter	Accuracy	MultiClass
0	0.5784085228	1.079155106
1	0.5916329618	1.061070792
2	0.6077658684	1.044458727
3	0.6175884388	1.029557611
4	0.6206137646	1.016166143
5	0.6224120805	1.002985249
6	0.6234962638	0.9910259503
7	0.6215875819	0.9810247919
8	0.6231197211	0.971007387
9	0.6278589653	0.9618474529
10	0.6307998935	0.953943193
11	0.6398434102	0.944114338
12	0.6446216071	0.9365836439
13	0.6451020236	0.9300686989
14	0.6487765609	0.9225586116
15	0.6517304733	0.915382387
16	0.6533275337	0.9077463452
17	0.6521849214	0.9020374127
18	0.648503892	0.8956102452
19	0.6619880156	0.8881559361
20	0.6652275811	0.8819769391
21	0.671304201	0.8749390404
22	0.6740179053	0.8671285856
23	0.6763031298	0.8608457584
24	0.6881642245	0.8532247487
25	0.6928839924	0.848208069
26	0.6929878662	0.8438151627
27	0.6967857537	0.838495981
28	0.6962144476	0.8330878565
29	0.6983893062	0.828315572
30	0.6983373693	0.8226533408
31	0.7006161017	0.8178251019
32	0.7040958756	0.8129357421
33	0.7073094726	0.8071432919
34	0.7090039147	0.8030760042
35	0.7093025521	0.7988299671
36	0.7104581486	0.7942794702
37	0.709523284	0.7909192574
38	0.7152817903	0.7862215872
39	0.7167100556	0.7823183372
40	0.7182032422	0.7795108673
41	0.7208065804	0.7750557268
42	0.7224815462	0.7723317468
43	0.7264092759	0.7678275399
44	0.7263962917	0.7638318311
45	0.7265521025	0.7607562985
46	0.7279803678	0.7578306736
47	0.7282595288	0.7553683981
48	0.7296553336	0.7522088927
49	0.7309407724	0.7490012988
50	0.7337778268	0.7461263188
51	0.7385819922	0.7422794691
52	0.7417631287	0.7389142616
53	0.7443469906	0.7354240089
54	0.7470087579	0.7321212729
55	0.7503781657	0.7301178082
56	0.7510858063	0.72777959
57	0.7522024501	0.7250531975
58	0.7543578324	0.722797977
59	0.7573831582	0.7198637238
60	0.7561821168	0.7168721323
61	0.76165497	0.7131650728
62	0.7645309771	0.7101439438
63	0.7671927444	0.7079026638
64	0.7707893763	0.705513276
65	0.7707309473	0.7026009373
66	0.7740678945	0.6993305669
67	0.7782423247	0.6956170346
68	0.7765738511	0.6935653643
69	0.7754766836	0.6915825557
70	0.7789824258	0.689811267
71	0.7849356956	0.6866530918
72	0.7868898223	0.683668157
73	0.7872274123	0.6819759348
74	0.7872728571	0.6794517652
75	0.7904410094	0.6765312088
76	0.7904345173	0.674936521
77	0.7945894711	0.6724961407
78	0.7947777424	0.6695922585
79	0.7957515597	0.6678323341
80	0.794135023	0.6659573293
81	0.7969201405	0.6637971338
82	0.796777314	0.6622981396
83	0.7969850616	0.6615176321
84	0.798186103	0.6586973432
85	0.8008283939	0.6559851275
86	0.8034317322	0.653509445
87	0.8049054423	0.6514310242
88	0.8048599975	0.6496754398
89	0.8064375816	0.6484830697
90	0.8085605033	0.6460432501
91	0.8102030084	0.6433327117
92	0.8118195452	0.6412679743
93	0.8126635202	0.6398648618
94	0.8131958736	0.6381364343
95	0.8139619432	0.6357183334
96	0.8170521901	0.6327619003
97	0.8207137432	0.6305355737
98	0.8210318568	0.6289809842
99	0.8231288101	0.6272424129
100	0.8247648231	0.6244792593
101	0.8244986464	0.6218503957
102	0.8261281673	0.6198565335
103	0.8291275246	0.618158378
104	0.8322177715	0.6150158831
105	0.8345354567	0.6132470814
106	0.8329124279	0.6120756953
107	0.8347432044	0.6098547446
108	0.8378918803	0.6081793368
109	0.8389046503	0.6056597931
110	0.8387098868	0.6036867059
111	0.8391967955	0.6025612482
112	0.841196367	0.5992262549
113	0.8411249537	0.5975820138
114	0.8416248466	0.5958357751
115	0.841761181	0.5946121335
116	0.8426960457	0.5923259072
117	0.8447021093	0.5900346494
118	0.8452799076	0.5883882556
119	0.8466822045	0.58566967
120	0.8468899522	0.5846855037
121	0.8477988483	0.5836696853
122	0.8488051262	0.5817793906
123	0.8496426091	0.5804814034
124	0.8488765394	0.5794680486
125	0.8504671077	0.5774669298
126	0.8496620854	0.5765935437
127	0.8505125525	0.5754035861
128	0.8530834302	0.5728980472
129	0.8534794492	0.5703234689
130	0.853466465	0.5686483496
131	0.8543169321	0.567005812
132	0.8552063519	0.5659734654
133	0.8552647809	0.5650141537
134	0.8567449832	0.5631207518
135	0.8564009011	0.5611798508
136	0.8578681192	0.5590322464
137	0.8585238228	0.5580833386
138	0.8592444476	0.5563071759
139	0.8568553492	0.5543902409
140	0.8595236086	0.5530798923
141	0.8586536651	0.5514186446
142	0.8599196276	0.5503588829
143	0.8606792051	0.5486743808
144	0.8626073634	0.5466781725
145	0.8635746885	0.5453665807
146	0.8636915466	0.5417922995
147	0.8645809664	0.5408364651
148	0.8654833704	0.5399573473
149	0.8676841975	0.5378919776
150	0.8675803237	0.5368681261
151	0.8679698506	0.5347547234
152	0.8680088033	0.5329665357
153	0.8692163368	0.5320281746
154	0.8701252329	0.531144742
155	0.8727805081	0.5291903405
156	0.8733193536	0.5271403634
157	0.8734556881	0.5263210556
158	0.8736374673	0.5254419302
159	0.8735400856	0.5240061766
160	0.87367642	0.5227068128
161	0.8746502373	0.521732522
162	0.8750592406	0.5191171414
163	0.8759486604	0.5177468556
164	0.8775976576	0.5166663711
165	0.8777469763	0.5148730603
166	0.8803568067	0.5133204427
167	0.8814669584	0.5113537279
168	0.8825965864	0.5102360429
169	0.8816552297	0.5082739619
170	0.8834340693	0.5062053923
171	0.885498562	0.5046205672
172	0.8861932183	0.5036894908
173	0.8861347893	0.5022417595
174	0.8864204424	0.5003352609
175	0.8868878747	0.4994149832
176	0.8869398116	0.4979557729
177	0.8871021145	0.4972117293
178	0.8871280829	0.4962567979
179	0.8874591808	0.4952031399
180	0.8874851493	0.4945458888
181	0.8882512189	0.4929953515
182	0.888368077	0.4918813872
183	0.8882901716	0.4913745376
184	0.8882642031	0.4905785317
185	0.8885758247	0.4885259342
186	0.8895885947	0.4862267572
187	0.889608071	0.4851989796
188	0.8903676485	0.4836467505
189	0.8921919329	0.4825216831
190	0.8920426142	0.4817163287
191	0.8923412515	0.4810194698
192	0.8930618764	0.4802904668
193	0.8939642804	0.4792735365
194	0.8935293087	0.4779310081
195	0.8953730694	0.4766826035
196	0.8961780917	0.4754226776
197	0.8964832211	0.474193463
198	0.8975868807	0.4724800367
199	0.8964053157	0.4704992673
200	0.8984178715	0.4686128126
201	0.9008589069	0.4670511666
202	0.9008913674	0.4664458285
203	0.9009108438	0.4647981602
204	0.9017937715	0.4635318791
205	0.9019690586	0.4626769165
206	0.903007797	0.4606209664
207	0.9030402576	0.4597653149
208	0.9049424474	0.4580187746
209	0.9050852739	0.4570118188
210	0.9052475768	0.4555730451
211	0.9052800374	0.4544076092
212	0.9054358482	0.4535648276
213	0.9061175203	0.4523472613
214	0.9061305045	0.4515879642
215	0.906156473	0.4506068919
216	0.9060590912	0.4489132386
217	0.9063512364	0.4477202114
218	0.9057539618	0.4468111948
219	0.9065200314	0.4463390063
220	0.9072925931	0.4447414185
221	0.907961281	0.442778543
222	0.9085001266	0.4420139379
223	0.9089286062	0.4410519946
224	0.9106100641	0.4400823032
225	0.910551635	0.4395203014
226	0.910551635	0.4388195455
227	0.9110904806	0.4372053761
228	0.9120318373	0.4357248872
229	0.911109957	0.4350533086
230	0.911168386	0.4343061076
231	0.9111618939	0.4333402616
232	0.9112138308	0.4322753646
233	0.9120837743	0.431835542
234	0.9120318373	0.4310382553
235	0.9121357112	0.4303013419
236	0.9136029292	0.428650573
237	0.9139664877	0.4280029803
238	0.9140898379	0.4262680787
239	0.9150247025	0.4251635958
240	0.9146936046	0.4241360563
241	0.9148039706	0.4233350965
242	0.9148494154	0.4226146105
243	0.9151415606	0.4209181636
