iter	Passed	Remaining
0	162	81331
1	291	72603
2	433	71881
3	618	76732
4	740	73329
5	886	73014
6	1019	71831
7	1127	69317
8	1240	67659
9	1340	65696
10	1457	64810
11	1571	63905
12	1671	62601
13	1772	61528
14	1887	61013
15	1988	60145
16	2092	59464
17	2200	58919
18	2296	58128
19	2448	58772
20	2578	58819
21	2698	58637
22	2805	58175
23	2941	58340
24	3079	58517
25	3199	58332
26	3307	57939
27	3410	57498
28	3511	57038
29	3618	56683
30	3726	56384
31	3828	55992
32	4016	56842
33	4187	57398
34	4338	57634
35	4491	57892
36	4625	57875
37	4749	57742
38	4843	57255
39	4943	56844
40	5124	57369
41	5453	59468
42	5687	60443
43	5871	60846
44	6063	61304
45	6278	61963
46	6453	62198
47	6704	63129
48	7020	64620
49	7175	64579
50	7431	65430
51	7670	66082
52	7957	67113
53	8241	68066
54	8501	68786
55	8698	68966
56	8897	69147
57	9080	69199
58	9385	70153
59	9727	71335
60	9984	71855
61	10213	72149
62	10382	72014
63	10635	72455
64	10953	73303
65	11253	73998
66	11500	74323
67	11808	75019
68	12115	75675
69	12249	75249
70	12422	75057
71	12575	74755
72	12692	74243
73	12813	73762
74	12942	73338
75	13083	72991
76	13200	72519
77	13354	72252
78	13482	71851
79	13682	71831
80	13862	71706
81	13996	71349
82	14135	71018
83	14267	70655
84	14393	70275
85	14508	69841
86	14633	69467
87	14760	69104
88	14882	68728
89	14986	68271
90	15092	67831
91	15212	67462
92	15329	67086
93	15437	66676
94	15553	66306
95	15693	66042
96	15817	65717
97	15974	65528
98	16173	65511
99	16323	65292
100	16500	65186
101	16647	64956
102	16840	64909
103	16979	64651
104	17104	64344
105	17227	64034
106	17361	63767
107	17534	63643
108	17659	63346
109	17787	63063
110	17916	62789
111	18039	62493
112	18164	62208
113	18279	61893
114	18392	61574
115	18517	61297
116	18636	61007
117	18762	60738
118	18898	60505
119	19016	60219
120	19122	59895
121	19249	59641
122	19375	59387
123	19497	59120
124	19626	58879
125	19738	58588
126	19851	58305
127	19990	58097
128	20141	57925
129	20271	57696
130	20395	57448
131	20536	57253
132	20656	57000
133	20774	56741
134	20885	56467
135	21008	56227
136	21133	55996
137	21259	55768
138	21364	55485
139	21486	55251
140	21671	55177
141	21808	54982
142	21938	54770
143	22084	54596
144	22237	54444
145	22368	54235
146	22508	54052
147	22646	53860
148	22814	53744
149	22947	53544
150	23072	53325
151	23186	53084
152	23295	52833
153	23409	52594
154	23530	52373
155	23657	52166
156	23781	51956
157	23902	51737
158	24030	51538
159	24144	51306
160	24269	51102
161	24417	50944
162	24535	50726
163	24653	50510
164	24767	50285
165	24887	50075
166	25004	49859
167	25128	49658
168	25251	49456
169	25376	49259
170	25503	49067
171	25643	48902
172	25764	48698
173	25890	48508
174	26018	48320
175	26142	48126
176	26287	47971
177	26440	47830
178	26567	47644
179	26708	47482
180	26836	47296
181	26956	47099
182	27060	46875
183	27244	46789
184	27402	46658
185	27551	46510
186	27694	46354
187	27825	46178
188	27941	45977
189	28070	45798
190	28187	45601
191	28308	45411
192	28415	45200
193	28523	44990
194	28643	44801
195	28773	44627
196	28893	44439
197	29019	44262
198	29128	44057
199	29252	43878
200	29371	43691
201	29487	43501
202	29609	43320
203	29725	43131
204	29864	42975
205	30046	42881
206	30205	42754
207	30343	42597
208	30521	42496
209	30646	42321
210	30762	42134
