iter	Passed	Remaining
399	62988	15747
400	63100	15578
401	63225	15413
402	63339	15245
403	63449	15077
404	63560	14909
405	63665	14740
406	63777	14573
407	63883	14405
408	63990	14237
409	64095	14069
410	64219	13906
411	64327	13739
412	64445	13575
413	64555	13410
414	64655	13242
415	64770	13078
416	64881	12914
417	64990	12749
418	65098	12584
419	65210	12421
420	65320	12257
421	65430	12093
422	65542	11930
423	65647	11766
424	65760	11604
425	65861	11440
426	65975	11279
427	66088	11117
428	66202	10956
429	66308	10794
430	66419	10633
431	66525	10471
432	66633	10310
433	66744	10150
434	66856	9990
435	66968	9830
436	67083	9671
437	67189	9510
438	67291	9350
439	67391	9189
440	67493	9029
441	67604	8871
442	67709	8712
443	67816	8553
444	67921	8394
445	68035	8237
446	68152	8080
447	68260	7923
448	68372	7766
449	68486	7609
450	68594	7452
451	68719	7297
452	68830	7141
453	68943	6985
454	69049	6829
455	69168	6674
456	69287	6519
457	69396	6363
458	69502	6208
459	69622	6054
460	69742	5900
461	69864	5746
462	69966	5591
463	70072	5436
464	70173	5281
465	70281	5127
466	70392	4974
467	70506	4820
468	70611	4667
469	70717	4513
470	70824	4360
471	70937	4208
472	71037	4055
473	71138	3902
474	71242	3749
475	71355	3597
476	71461	3445
477	71564	3293
478	71677	3142
479	71794	2991
480	71910	2840
481	72015	2689
482	72126	2538
483	72237	2388
484	72331	2237
485	72441	2086
486	72559	1936
487	72661	1786
488	72774	1637
489	72885	1487
490	73010	1338
491	73136	1189
492	73265	1040
493	73378	891
494	73497	742
495	73608	593
496	73728	445
497	73836	296
498	73957	148
499	74080	0
