iter	MultiClass
293	0.296339329
294	0.2955476895
295	0.294495619
296	0.2938094905
297	0.2931757387
298	0.2928569818
299	0.2921908683
300	0.2916371446
301	0.291085838
302	0.2907262883
303	0.2899523389
304	0.289427874
305	0.2887479501
306	0.2881712919
307	0.2875072129
308	0.2864194568
309	0.2857003905
310	0.2853014442
311	0.2843418307
312	0.2835472715
313	0.28237733
314	0.2816881952
315	0.2813885483
316	0.2809018529
317	0.2797003378
318	0.2789266619
319	0.278548646
320	0.277679642
321	0.2769586244
322	0.2762822069
323	0.2757939999
324	0.2751206508
325	0.2749236476
326	0.274667775
327	0.273498112
328	0.2727775449
329	0.2719884557
330	0.2709855497
331	0.2706823096
332	0.2701921191
333	0.2699638625
334	0.2692745561
335	0.2685759472
336	0.2674680732
337	0.2667620697
338	0.2661713648
339	0.2652964964
340	0.2645451809
341	0.2638713321
342	0.2636877615
343	0.2630653795
344	0.2624533605
345	0.2621680145
346	0.2615545705
347	0.2606322802
348	0.2600640054
349	0.2595399759
350	0.2592628209
351	0.2589443748
352	0.2584137451
353	0.2576869468
354	0.2572311499
355	0.2565994882
356	0.2559978144
357	0.2554042308
358	0.2546876212
359	0.2540540989
360	0.2537142319
361	0.2535449692
362	0.2530867328
363	0.2526859058
364	0.2523797611
365	0.2520317145
366	0.2515456258
367	0.2511325318
368	0.2504858252
369	0.2498699268
370	0.2495280502
371	0.2489721216
372	0.2483527309
373	0.2478270962
374	0.2474334311
375	0.2471889857
376	0.246838569
377	0.246042526
378	0.2453714031
379	0.2446358471
380	0.2443863503
381	0.2437817928
382	0.2433835146
383	0.2427766084
384	0.2425738743
385	0.2420880194
386	0.2412710086
387	0.2406351374
388	0.2404266296
389	0.2400464238
390	0.2396534698
391	0.2393359952
392	0.2388501026
393	0.2382828863
394	0.2379486813
395	0.2371606645
396	0.236723622
397	0.2364189035
398	0.23557729
399	0.2351138674
400	0.2343363617
401	0.2341350514
402	0.2336014839
403	0.2329235541
404	0.2322334328
405	0.2311809278
406	0.230674496
407	0.2302430923
408	0.2295444429
409	0.2288819782
410	0.2283731683
411	0.2279447187
412	0.2273698254
413	0.2266620724
414	0.2262355152
415	0.2259314775
416	0.2253421006
417	0.2251878379
418	0.2247886928
419	0.2244246886
420	0.22392113
421	0.223574431
422	0.2234184002
423	0.2230194053
424	0.2224645793
425	0.2220634027
426	0.22173442
427	0.2211206277
428	0.2207592495
429	0.2204169218
430	0.220201975
431	0.219846765
432	0.2191762728
433	0.2187416894
434	0.2185309014
435	0.2180043847
436	0.217689398
437	0.2173906427
438	0.2168536339
439	0.2161622055
440	0.2156993353
441	0.215278219
442	0.2144641346
443	0.2139801857
444	0.2135196824
445	0.212894481
446	0.2125730367
447	0.2120664777
448	0.2118522692
449	0.211202645
450	0.210869676
451	0.2107207294
452	0.2105099608
453	0.2100060839
454	0.2094061441
455	0.2089892002
456	0.2081524037
457	0.207645434
458	0.2074249918
459	0.206813755
460	0.2064314087
461	0.2059027853
462	0.2055610127
463	0.2050886645
464	0.2046860133
465	0.2042804488
466	0.2040979587
467	0.2038820394
468	0.2036241929
469	0.2034125076
470	0.2028183178
471	0.202277132
472	0.20200177
473	0.2015037194
474	0.2011534169
475	0.2007198609
476	0.1996060512
477	0.1991498649
478	0.1988302275
479	0.1982323722
480	0.1977323598
481	0.1975834964
482	0.1971470897
483	0.1964736758
484	0.1960312385
485	0.1957321954
486	0.1955695368
487	0.1948551683
488	0.1942726337
489	0.194165231
490	0.1940472632
491	0.1939588475
492	0.1937731836
493	0.1932983224
494	0.1930109668
495	0.1926343603
496	0.1923328037
497	0.1920281078
498	0.1914893047
499	0.19140509
