iter	Accuracy	MultiClass
0	0.5791838166	1.078876531
1	0.5921484867	1.060546495
2	0.6064829843	1.043617096
3	0.6081384629	1.028178309
4	0.6176039056	1.01450621
5	0.6179999221	1.001791322
6	0.6270239038	0.9914843335
7	0.6278873495	0.9800973102
8	0.6337496916	0.9694680438
9	0.6401054313	0.9616196515
10	0.6462079801	0.9512196036
11	0.6476427282	0.9416251584
12	0.6618733526	0.9333706686
13	0.6569848215	0.9239906534
14	0.6619252892	0.9159384668
15	0.6620551307	0.9099508461
16	0.6619382734	0.902679275
17	0.6607112715	0.8963427593
18	0.6719815106	0.8882293062
19	0.6682226002	0.8815918552
20	0.6702611112	0.8771036883
21	0.678051599	0.8709809625
22	0.6821480972	0.8648258903
23	0.6770128673	0.8597618555
24	0.6771037563	0.8553519053
25	0.6809081112	0.8497033778
26	0.6889972344	0.8437764401
27	0.6890946155	0.8389837679
28	0.6881727411	0.8325863094
29	0.6878676136	0.8295310601
30	0.6902631886	0.8255885785
31	0.6949764338	0.8199657831
32	0.702091746	0.8144178658
33	0.7012153161	0.81059955
34	0.7031953984	0.8043117158
35	0.7072204838	0.7993655012
36	0.7095641222	0.7952423743
37	0.7132061753	0.7900228321
38	0.7146863679	0.7861027233
39	0.7141215576	0.7819446683
40	0.7157835283	0.77913797
41	0.7215160289	0.7749342503
42	0.7234052222	0.7716718712
43	0.7257748289	0.7689549711
44	0.72480751	0.7636271896
45	0.7318384253	0.7610232997
46	0.7348507472	0.757525996
47	0.7336951582	0.7553890887
48	0.7352337796	0.7521805049
49	0.7365257021	0.7499292408
50	0.7366295753	0.7465040057
51	0.74024566	0.742095689
52	0.7399665009	0.7389089201
53	0.7434527442	0.7356364008
54	0.7452705247	0.7309475917
55	0.7488087046	0.7284981928
56	0.7478868302	0.7266498209
57	0.7507822948	0.723406168
58	0.7532492826	0.7211303253
59	0.7512497241	0.7189401893
60	0.7553786826	0.7166455588
61	0.7554436034	0.7135571215
62	0.7556513497	0.7105236525
63	0.7621628991	0.7071152509
64	0.7649155381	0.703172885
65	0.7642728229	0.7011008366
66	0.7647467442	0.6982440282
67	0.7675188595	0.696053385
68	0.7672202241	0.6927585436
69	0.7728098991	0.6885869927
70	0.7747380448	0.6859458955
71	0.7789059558	0.6829207606
72	0.7819572302	0.6798952364
73	0.784158043	0.678390125
74	0.7843528052	0.6755120776
75	0.7836062168	0.6739287044
76	0.785216251	0.6716024375
77	0.7881182077	0.6693678444
78	0.7881376839	0.6675504711
79	0.7883778906	0.6643613294
80	0.79276004	0.6612494704
81	0.7921043406	0.6577350516
82	0.7933313424	0.6558592474
83	0.7978563174	0.6535117234
84	0.7992975577	0.6502149331
85	0.8008426711	0.6480621857
86	0.7992261449	0.6463195084
87	0.7992001766	0.6452134511
88	0.8003687498	0.6428401129
89	0.8024916577	0.6396082318
90	0.8024916577	0.6370305574
91	0.8044782321	0.6347721177
92	0.8049911059	0.6321946755
93	0.8072373632	0.6299604767
94	0.8068023943	0.6281525708
95	0.8075035382	0.6262962493
96	0.8081267772	0.6241834187
97	0.8113793059	0.6223143266
98	0.8115870522	0.6198701185
99	0.8131386577	0.6187434278
100	0.8170339016	0.6156784373
101	0.8180206967	0.6134816603
102	0.8205915577	0.6107547998
103	0.8204811925	0.609331207
104	0.820701923	0.6067568768
105	0.8242011504	0.6038879917
106	0.8236688004	0.6025356075
107	0.8230910059	0.6004886505
108	0.8239414675	0.5994573055
109	0.8265512809	0.5971038509
110	0.8268434242	0.59490438
111	0.8276029967	0.5937657556
112	0.8294272693	0.5918472685
113	0.8297843333	0.5902447047
114	0.8301933339	0.5885665668
115	0.830732176	0.5863312175
116	0.8326603217	0.5840924329
117	0.8335951803	0.5825470855
118	0.8329849254	0.5806605161
119	0.8330108937	0.5792561389
120	0.834017165	0.5768246505
121	0.834900087	0.5750860189
122	0.8357570407	0.5742911044
123	0.8358349455	0.572514636
124	0.8394185699	0.5713617472
125	0.8394899827	0.570386989
126	0.8402820157	0.5683386706
127	0.8393471571	0.5669734152
128	0.8403534285	0.5640458313
129	0.8420089071	0.562159134
130	0.8437942272	0.5608880877
131	0.8462741992	0.5590615863
132	0.8459755638	0.5578736226
133	0.8461898023	0.5567940206
134	0.8495137437	0.5549053325
135	0.8493968864	0.5539566267
136	0.8507732059	0.5517628516
137	0.8515197943	0.5489979818
138	0.8544412273	0.5477729065
139	0.8556098004	0.5454211539
140	0.8552267681	0.542657
141	0.855213784	0.5415397685
142	0.856726437	0.5397791485
143	0.8572652791	0.5378293769
144	0.8583948998	0.5368349184
145	0.8615954919	0.5348312886
146	0.8641663529	0.5330493574
147	0.8633029072	0.5312616798
148	0.8660295779	0.5302957981
149	0.8660685303	0.5283451365
150	0.8672500876	0.5270649626
151	0.8690289157	0.5261423218
152	0.869496345	0.5252069213
153	0.8704376956	0.5242411857
154	0.86976252	0.5225262197
155	0.8693470273	0.5209070186
156	0.8723268889	0.5196104387
157	0.8737097005	0.5187330391
158	0.8731448901	0.5171326246
159	0.8736642559	0.5152865153
160	0.8754625602	0.5140500942
161	0.8733980809	0.5123286692
162	0.8751379566	0.5112144347
163	0.8750535596	0.5094302835
164	0.8777672462	0.5077313507
165	0.8768778322	0.5065364226
166	0.8777672462	0.5048157306
167	0.8778061986	0.5042449643
168	0.8795915188	0.502462845
169	0.8787800096	0.5013237305
170	0.8797473285	0.5000660387
171	0.8806497267	0.4982059974
172	0.8825908566	0.497255172
173	0.8827012218	0.4960232763
174	0.8828829999	0.4952053303
175	0.8825454121	0.4935552664
176	0.8833244608	0.492298163
177	0.8836295883	0.490388043
