iter	Passed	Remaining
399	30949	7737
400	31034	7661
401	31110	7584
402	31211	7512
403	31300	7437
404	31375	7359
405	31457	7283
406	31535	7206
407	31617	7129
408	31698	7052
409	31779	6975
410	31860	6899
411	31958	6826
412	32035	6748
413	32111	6670
414	32184	6591
415	32266	6515
416	32337	6436
417	32412	6358
418	32496	6282
419	32590	6207
420	32665	6129
421	32749	6053
422	32830	5976
423	32909	5898
424	32991	5821
425	33087	5747
426	33190	5674
427	33299	5601
428	33391	5526
429	33475	5449
430	33555	5371
431	34030	5356
432	34440	5329
433	34630	5266
434	34879	5211
435	35011	5139
436	35123	5063
437	35223	4985
438	35331	4909
439	35441	4832
440	35543	4755
441	35647	4677
442	35754	4600
443	35890	4526
444	35991	4448
445	36093	4370
446	36198	4291
447	36334	4217
448	36430	4137
449	36521	4057
450	36738	3991
451	37038	3933
452	37239	3863
453	37440	3793
454	37705	3729
455	37830	3650
456	37937	3569
457	38037	3488
458	38126	3405
459	38213	3322
460	38312	3241
461	38408	3159
462	38521	3078
463	38634	2997
464	38744	2916
465	38887	2837
466	38996	2755
467	39102	2673
468	39201	2591
469	39599	2527
470	39877	2455
471	40079	2377
472	40333	2302
473	40480	2220
474	40597	2136
475	40706	2052
476	40802	1967
477	40893	1882
478	41003	1797
479	41109	1712
480	41210	1627
481	41312	1542
482	41406	1457
483	41498	1371
484	41597	1286
485	41704	1201
486	41802	1115
487	41922	1030
488	42039	945
489	42173	860
490	42543	779
491	42737	694
492	42924	609
493	43042	522
494	43124	435
495	43205	348
496	43271	261
497	43350	174
498	43426	87
499	43498	0
