iter	Passed	Remaining
0	142	71216
1	255	63567
2	367	60922
3	538	66763
4	685	67818
5	813	66960
6	926	65263
7	1034	63623
8	1130	61683
9	1227	60135
10	1322	58800
11	1419	57733
12	1526	57177
13	1609	55883
14	1699	54940
15	1783	53951
16	1884	53531
17	1981	53070
18	2077	52603
19	2163	51919
20	2259	51528
21	2356	51190
22	2454	50898
23	2550	50586
24	2648	50325
25	2745	50047
26	2842	49793
27	2935	49482
28	3033	49261
29	3131	49063
30	3234	48931
31	3328	48675
32	3415	48333
33	3511	48121
34	3605	47907
35	3703	47737
36	3808	47661
37	3899	47404
38	3998	47269
39	4098	47136
40	4189	46900
41	4285	46732
42	4381	46561
43	4477	46403
44	4579	46304
45	4672	46119
46	4774	46015
47	4871	45870
48	4966	45713
49	5053	45485
50	5145	45299
51	5235	45109
52	5332	44973
53	5429	44846
54	5536	44798
55	5638	44705
56	5773	44869
57	5864	44690
58	5967	44604
59	6057	44419
60	6158	44320
61	6260	44226
62	6343	44002
63	6430	43806
64	6514	43599
65	6619	43527
66	6714	43390
67	6806	43240
68	6904	43129
69	6999	42995
70	7091	42847
71	7180	42686
72	7274	42548
73	7364	42395
74	7466	42307
75	7557	42161
76	7659	42076
77	7792	42159
78	7910	42156
79	8010	42054
80	8010	42054
81	10376	53545
82	10594	53877
83	11029	55281
84	12079	59678
85	12268	59753
86	12422	59658
87	12562	59492
88	12706	59347
89	12819	59058
90	13004	59097
91	13163	59019
92	13273	58719
93	13413	58557
94	13656	58837
95	13783	58615
96	13899	58349
97	14026	58130
98	14149	57897
99	14252	57584
100	14377	57367
101	14488	57091
102	14587	56778
103	14708	56550
104	14822	56298
105	14957	56127
106	15107	56013
107	15226	55783
108	15339	55535
109	15457	55306
110	15584	55113
111	15698	54873
112	15810	54630
113	15937	54442
114	16072	54278
115	16199	54090
116	16323	53895
117	16440	53678
118	16592	53574
119	16761	53524
120	16950	53536
121	17090	53390
122	17242	53283
123	17443	53323
124	17632	53324
125	17773	53179
126	17957	53158
127	18103	53028
128	18252	52905
129	18395	52762
130	18545	52641
131	18730	52615
132	18901	52550
133	19047	52416
134	19200	52299
