iter	Accuracy	MultiClass
0	0.5808235898	1.078751242
1	0.6001895698	1.060452798
2	0.5969435121	1.04435869
3	0.6104730804	1.030545089
4	0.6115897243	1.017947447
5	0.6207630832	1.004369195
6	0.6386553531	0.9910237695
7	0.6391617381	0.978937354
8	0.645011134	0.9681867074
9	0.63938247	0.9603438873
10	0.6412846598	0.9500198172
11	0.6489713243	0.941744859
12	0.6558140139	0.9321319203
13	0.6589302292	0.9250102007
14	0.6562230171	0.9182702418
15	0.6616958704	0.9110546649
16	0.6689280868	0.902476075
17	0.6694085034	0.8964769437
18	0.6776405056	0.8892552651
19	0.6779845877	0.8817878484
20	0.6797569352	0.8748353233
21	0.6825160842	0.8683208604
22	0.681717554	0.862220579
23	0.6910856764	0.8551252307
24	0.6922282887	0.8495744999
25	0.6944485922	0.8443932038
26	0.6972661702	0.8388959363
27	0.6959937156	0.8337522583
28	0.6990060571	0.8267329754
29	0.70018113	0.8224571425
30	0.7023624808	0.8180029399
31	0.706037018	0.8146628127
32	0.7070432959	0.8100934566
33	0.7081599398	0.8054617694
34	0.7080820344	0.8017429189
35	0.7122045276	0.7986326105
36	0.7156713172	0.7934860106
37	0.7180539235	0.7882061477
38	0.7181837658	0.7840773956
39	0.7211117098	0.7796047144
40	0.722358196	0.7753266
41	0.7246564048	0.771545102
42	0.7250394396	0.7682729656
43	0.7270130427	0.76521133
44	0.727370109	0.7628062968
45	0.7271493771	0.7603388586
46	0.7291684249	0.7575120214
47	0.7297527153	0.7551800077
48	0.7321158453	0.7529283476
49	0.7343231645	0.7489887061
50	0.7357189693	0.7452708556
51	0.7379847176	0.7406733943
52	0.7410295196	0.7351496351
53	0.7397700493	0.731656776
54	0.7441587192	0.7293394093
55	0.7460414327	0.7270565637
56	0.7475086507	0.7224963419
57	0.7504301026	0.7197538298
58	0.7509949167	0.7177154589
59	0.7518908286	0.7142528351
60	0.7543448482	0.7106659389
61	0.7582141489	0.7077160766
62	0.7567079782	0.7067226073
63	0.760473405	0.7036156334
64	0.7588633604	0.7011302544
65	0.7623366421	0.6990250934
66	0.7644465796	0.6965643872
67	0.7688482338	0.6922372598
68	0.769477969	0.690221012
69	0.77043231	0.6886034577
70	0.7707439315	0.6856194812
71	0.7752559516	0.6827083091
72	0.7743795161	0.6797319948
73	0.774373024	0.6770498755
74	0.775613018	0.6739607335
75	0.7800666091	0.6707350804
76	0.7804496439	0.6673216403
77	0.7825855498	0.6649865714
78	0.7830075373	0.6619126133
79	0.7825660735	0.6588397783
80	0.7861172606	0.6562815015
81	0.7850071089	0.6549440266
82	0.786026371	0.6528657663
83	0.787266365	0.6503632375
84	0.7895061448	0.6475166423
85	0.7919731486	0.6450669321
86	0.7921419436	0.643690984
87	0.7938753384	0.641363622
88	0.7949270611	0.6388248189
89	0.7978420209	0.6366761725
90	0.797004538	0.6351906787
91	0.8025812651	0.63288496
92	0.8018281797	0.6306142014
93	0.8053988431	0.62855427
94	0.809612226	0.6257152952
95	0.8118065609	0.623164115
96	0.8134490661	0.6217044326
97	0.8175390988	0.6197293136
98	0.8201684055	0.617010113
99	0.8202268345	0.6156042342
100	0.8243947725	0.6136402369
101	0.8260113093	0.6115930414
102	0.8260372777	0.6100004493
103	0.8268358079	0.6081466278
104	0.8270175871	0.606549872
